PointBiserialCoefficient	AttributeName
0.7301446219634377	AnnotSV ranking
0.5639290333593847	misZ_ExAC
0.5440076831277778	pLI_ExAC
0.5337981538040809	CGscore_indel_gene_count_2
0.5337981538040809	CGscore_indel_gene_count
0.5314057080781813	TriS_CGscore
0.5213754688984763	synZ_ExAC
0.4883385279651891	HI_CGscore
0.3895894634776136	gene_count
0.38941231163984513	promoters_count
-0.36443202420259	min_D_Frequency_3
-0.36443202420259	DGV_LOSS_Frequency
0.35765410092955696	HI_DDDpercent
-0.33403985914814643	IMH_AF
-0.3256168601821861	SV_length
0.3256168601821861	length
0.322343647251923	morbidGene_count
-0.3151226909422674	1000g_AF
-0.3149650602618602	1000g_max_AF
-0.2912970869557304	GD_POPMAX_AF
-0.2899915246698951	GD_AF
0.2857149569508589	ExAC_zScore_pLI
0.2755070144034088	cnvZ_ExAC
0.27356267411888946	delZ_ExAC
0.26979677193092877	dupZ_ExAC
-0.2614105183416614	DGV_LOSS_n_samples_tested
0.22892816478900735	ExAC_zScore_indel
0.22383033860258228	ExAc_zScore_cnv
-0.2077737646386984	Unnamed: 0
-0.2077737646386984	Unnamed: 0.1
-0.17421907900110917	DGV_GAIN_Frequency
-0.16518528381377845	min_D_Frequency_2
-0.1517867168013031	DGV_LOSS_n_samples_with_SV
-0.14626712817591087	id
-0.12600489816819355	DGV_GAIN_n_samples_tested
-0.06385347989899323	start_grch37
0.0635044330952668	stop_ncbi36
-0.057205955499699174	SV_start
-0.03701473510908766	HI_DDDperc_haploinsufficient_gene_count
-0.014921788911365589	DGV_GAIN_n_samples_with_SV
-0.010977914072790593	stop_grch37
0.009166107352410814	start_ncbi36
-0.004347863125080973	SV_end
